ID,Ticker,Quantity,Buy Price,Sell Price,Profit (USD),Profit (%)
1,ABG,0.7,225.59,223.44,-1.505000000000004,-0.9530564298062884
2,ABR,7.0,8.8,None,,
3,BMEA,10.0,1.43,1.37,-0.5999999999999983,-4.195804195804184
4,BNL,1.0,15.46,15.94,0.47999999999999865,3.104786545924959
5,NOTE,60.0,0.66,0.6226,-2.2439999999999993,-5.666666666666665
6,BP,2.0,29.03,None,,
7,ATEX,2.0,28.77,27.05,-3.4399999999999977,-5.978449774070208
8,KPTI,8.0,4.5,4.31,-1.5200000000000031,-4.22222222222223
9,REYN,1.0,22.19,21.68,-0.5100000000000016,-2.298332582244261
10,LUNG,8.0,3.05,2.95,-0.7999999999999972,-3.2786885245901525
11,ESPR,30.0,0.8056,0.858,1.572,6.50446871896723
12,CYRX,6.0,6.09,5.9,-1.139999999999997,-3.1198686371100086
13,KITT,25.0,0.9382,0.91,-0.7050000000000001,-3.005755702408868
14,MKC,0.5,71.66,None,,
15,BMEA,10.0,1.44,1.35,-0.8999999999999986,-6.249999999999991
16,COTY,6.0,4.84,None,,
17,MOMO,5.0,6.02,6.93,4.550,15.116
18,TWO,2.0,11.02,10.61,-0.8200000000000003,-3.7205081669691484
19,FI,0.1,160.82,None,,
20,CRM,0.1,265.0,None,,
21,ADEA,1.0,13.14,None,,
22,FWRG,1.0,15.14,None,,
23,LSCC,0.25,46.62,None,,
24,VFC,1.0,12.63,None,,
25,M,1.0,12.03,None,,
26,PCH,0.5,39.15,None,,
27,NWL,1.0,5.49,None,,
