ID,Ticker,Quantity,Buy Price,Total Sold,Total Received,Avg Sell Price,Profit (USD),Profit (%)
1,ABG,0.7,225.59,0.7,156.408,223.440,-1.505,-0.95
2,ABR,7.0,8.8,0,0,None,,
3,BMEA,10.0,1.43,10.0,13.700000000000001,1.370,-0.600,-4.20
4,BNL,1.0,15.46,1.0,15.94,15.940,0.480,3.10
5,NOTE,60.0,0.66,60.0,37.356,0.623,-2.244,-5.67
6,BP,2.0,29.03,0,0,None,,
7,ATEX,2.0,28.77,2.0,54.1,27.050,-3.440,-5.98
8,KPTI,8.0,4.5,8.0,34.48,4.310,-1.520,-4.22
9,REYN,1.0,22.19,1.0,21.68,21.680,-0.510,-2.30
10,LUNG,8.0,3.05,8.0,23.6,2.950,-0.800,-3.28
11,ESPR,30.0,0.8056,30.0,25.74,0.858,1.572,6.50
12,CYRX,6.0,6.09,6.0,35.400000000000006,5.900,-1.140,-3.12
13,KITT,25.0,0.9382,25.0,22.75,0.910,-0.705,-3.01
14,MKC,0.5,71.66,0,0,None,,
15,BMEA,10.0,1.44,10.0,13.5,1.350,-0.900,-6.25
16,COTY,6.0,4.84,0,0,None,,
17,MOMO,5.0,6.02,5.0,34.65,6.930,4.550,15.12
18,TWO,2.0,11.02,2.0,21.22,10.610,-0.820,-3.72
19,FI,0.1,160.82,0,0,None,,
20,CRM,0.1,265.0,0,0,None,,
21,ADEA,1.0,13.14,0,0,None,,
22,FWRG,1.0,15.14,0,0,None,,
23,LSCC,0.25,46.62,0,0,None,,
24,VFC,1.0,12.63,0,0,None,,
25,M,1.0,12.03,0,0,None,,
26,PCH,0.5,39.15,0,0,None,,
27,NWL,1.0,5.49,0,0,None,,
28,AAPL,2.0,20.0,1.000,30.000,10.000,50.000
